"","kg_km2","X","Y","X.utm","Y.utm","month","year","depth","CHL","TMP_sst","TMP_bot","dox.bot","nit","pho","sal","poc"
"54832",13.7457113826749,16.1566666666667,41.7124166666667,596.226043254548,4618.491481622,7,2018,10,0.139504610866863,26.5585708618164,26.2599029541016,181.788833618164,1.62038516577812,0.00992612066672054,36.3721104999283,12.6310777664185
"55195",10.4307642104531,17.85925,41.0411666666667,740.327224228138,4547.26971353687,7,2018,597.5,0.079094107270449,25.6084651947021,13.7848863601685,216.187210083008,1.41457604347433,0.115320746398554,38.8029648559311,0.589998245239258
"55494",12.4402587250928,18.4091666666667,40.77275,787.72648679344,4519.13005422916,7,2018,565,0.0841952174766387,25.7644500732422,13.9187650680542,215.755599975586,1.35371899049568,0.111091449030171,38.8025979584782,0.106408208608627
"55529",12.1056470020165,18.77525,40.9906666666667,817.577145372574,4544.59278238288,7,2018,555,0.0750614459064694,25.852502822876,13.9327087402344,215.967620849609,1.52443832436493,0.114310675550463,38.8273595822846,0.100200071930885
"55662",9.51880952352379,18.7471666666667,41.0705833333333,814.83979060165,4553.36354152326,7,2018,595.5,0.0743153555602711,25.86012840271,14.0107078552246,216.15869140625,1.48544836917401,0.112271577703079,38.8276581178094,0.126052930951118
"55675",9.67144640793001,18.4683333333333,40.2463333333333,795.016706884419,4460.86744240702,7,2018,41,0.125124844676981,25.7653045654297,15.7540645599365,225.871047973633,0.222071372603379,0.0156151090780586,38.0393054346041,17.0058174133301
"55722",12.4413239846127,18.6156666666667,40.61225,805.89205740937,4502.00737002732,7,2018,582.5,0.0796266328358728,25.8113651275635,13.8063135147095,214.812454223633,1.52165266754711,0.115482426346199,38.811625651465,0.0411210246384144
"65279",7.32411120357464,16.9075833333333,39.8085833333333,663.29138343975,4408.25472173317,8,2018,533.5,0.0390674552223049,27.807804107666,13.9669342041016,205.758071899414,1.7234478326548,0.106276095977322,38.8062788521798,0.0262049492448568
"65400",11.4788561482795,16.8006666666667,40.1885833333333,653.287772393391,4450.24499145607,8,2018,39,0.132095211972601,27.7903614044189,14.8148326873779,210.486312866211,0.343928274422324,0.050995089684826,38.7310943680457,4.92102527618408
"65401",9.61121265744799,16.8049166666667,40.2306666666667,653.550253738203,4454.9255023488,8,2018,27,0.159277143614661,27.7424640655518,15.8914108276367,219.618194580078,0.0384230248087021,0.0229104193865571,38.6960149258412,11.2118444442749
"65404",7.41081526594022,17.5321666666667,40.1201666666667,715.780410987291,4444.17209206244,8,2018,526.5,0.0641866179884807,27.6850833892822,14.0717363357544,205.928848266602,1.75919308583884,0.109051087938241,38.8320651253223,0.0334747917950153
"65421",11.6839021384449,17.64,39.9935,725.385001646561,4430.37429828293,8,2018,553.5,0.0611738030210005,27.7344131469727,13.9428396224976,203.337066650391,1.97397288973766,0.114656181072765,38.8302801928694,0.0131060183048248
"65423",9.87758027298632,17.654,39.8875,726.930553367698,4418.64273348202,8,2018,586,0.0533465614964298,27.730712890625,13.7233333587646,199.461685180664,2.15758187622494,0.118563672377001,38.8250433591885,0.00329104345291853
"65424",7.45130025640839,15.1194166666667,37.39175,510.568986383102,4138.34414556361,8,2018,14,0.0576427160092899,27.6491069793701,17.1067962646484,222.144409179688,0.0152562985283806,0.0157009513606958,38.5236883003256,3.87254762649536
"65554",11.6509250600735,17.6834166666667,39.8404166666667,729.60180349727,4413.48933576718,8,2018,624.5,0.0537298869235942,27.752872467041,13.6847038269043,198.935348510742,2.16146883428916,0.118685815289069,38.8237322439733,0.00223937560804188
"65603",14.4722764696365,17.3908333333333,39.1253333333333,706.670278332757,4333.4031738317,8,2018,605.5,0.0542562398305288,27.8646392822266,13.9960823059082,203.838928222656,1.72371606909831,0.102775567177292,38.8175893221807,0.0638023391366005
"65610",11.0431455948748,16.77,38.3923333333333,654.57546225083,4250.82604204221,8,2018,588,0.068258035252471,28.0535545349121,13.9601402282715,203.403045654297,1.97909823844129,0.111490186268489,38.8212095868319,0.033430814743042
"65612",9.04010276126685,16.84025,38.33,660.844413423314,4244.032474544,8,2018,713.5,0.069367403442177,28.0790672302246,13.6570873260498,200.629821777344,2.25611170142878,0.119213771605128,38.8194628969955,0.0029140601400286
"65806",10.2017074290179,16.1580833333333,38.0246666666667,601.645658958863,4209.18838679727,8,2018,28.5,0.0878866434232849,28.0555725097656,14.7273397445679,206.639923095703,0.777922354959275,0.0690233456932744,38.6759719352158,3.88827896118164
"65807",8.9705953975899,16.1761666666667,38.0780833333333,603.159354720656,4215.13352071401,8,2018,34.5,0.0691569342233235,28.0286293029785,15.2873125076294,217.556640625,0.0101284188837525,0.0197240734486279,38.4284702480476,9.5333366394043
"65808",12.0778001806674,16.5400833333333,38.3815,634.516927177876,4249.26728017027,8,2018,22.5,0.134304535440697,28.0305233001709,15.1156673431396,206.123931884766,0.278423580478649,0.0420485389684775,38.5271295607656,8.95543384552002
"65809",8.92360385421766,16.2745,38.2143333333333,611.573467870911,4230.36020262292,8,2018,61.5,0.0892057542276052,28.027172088623,14.6947298049927,206.54362487793,0.925039286701638,0.0748644188073493,38.7026788721277,2.83909869194031
"65817",10.64808788242,16.20975,37.9556666666667,606.274228484298,4201.58994448107,8,2018,510.5,0.0749916297040489,28.074821472168,13.7990531921387,203.768753051758,2.00284263861625,0.113472115723228,38.8331099865661,0.0646112784743309
"65819",10.7778256552593,16.2039166666667,37.948,605.775712138293,4200.72897196501,8,2018,519.5,0.0749916297040489,28.074821472168,13.7990531921387,203.768753051758,2.00284263861625,0.113472115723228,38.8331099865661,0.0646112784743309
"65820",10.11867519346,16.64075,38.3196666666667,643.434794099519,4242.56101711445,8,2018,642.5,0.0643407284552835,28.0700988769531,14.1166324615479,204.164138793945,1.78097299502474,0.105828327201802,38.810397410053,0.132454693317413
